"","name","id","align","eye","hair","sex","gsm","alive","appearances","year"
"62","loki laufeyson (earth-616)","no dual identity","neutral characters","green eyes","black hair","genderfluid characters","bisexual characters","living characters",532,"1949"
"63","franklin nelson (earth-616)","no dual identity","good characters","blue eyes","bald","male characters","heterosexual characters","living characters",528,"1964"
"64","brian braddock (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",528,"1976"
"65","otto octavius (earth-616)","secret identity","neutral characters","hazel eyes","brown hair","male characters","heterosexual characters","deceased characters",526,"1963"
"66","james rhodes (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",525,"1979"
"67","timothy dugan (earth-616)","public identity","good characters","blue eyes","red hair","male characters","heterosexual characters","deceased characters",517,"1963"
"68","crystalia amaquelin (earth-616)","public identity","good characters","green eyes","strawberry blond hair","female characters","heterosexual characters","living characters",512,"1965"
"69","samuel wilson (earth-616)","public identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",512,"1969"
"70","wilson fisk (earth-616)","public identity","bad characters","blue eyes","bald","male characters","heterosexual characters","living characters",503,"1967"
"71","odin borson (earth-616)","public identity","neutral characters","blue eyes","white hair","male characters","heterosexual characters","living characters",502,"1962"
"72","deadpool (wade wilson)","secret identity","neutral characters","brown eyes","bald","male characters","transvestites","living characters",500,"1991"
"73","dane whitman (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",478,"1967"
"74","harold osborn (earth-616)","no dual identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","living characters",474,"1965"
"75","franklin richards (earth-616)","no dual identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",473,"1968"
"76","jessica drew (earth-616)","secret identity","good characters","green eyes","auburn hair","female characters","heterosexual characters","living characters",471,"1977"
"77","roberto da costa (earth-616)","secret identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",464,"1982"
"78","rahne sinclair (earth-616)","secret identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",448,"1982"
"79","elizabeth ross (earth-616)","public identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",446,"1962"
"80","lorna dane (earth-616)","secret identity","good characters","green eyes","green hair","female characters","heterosexual characters","living characters",433,"1968"
"81","blaine colt (earth-616)","public identity","","blue eyes","blond hair","male characters","heterosexual characters","deceased characters",429,"need to drop"
"82","johnathon blaze (earth-616)","secret identity","good characters","blue eyes","reddish blond hair","male characters","heterosexual characters","living characters",426,"1972"
"83","sif (earth-616)","no dual identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",422,"1964"
"84","red hulk (thaddeus ross)","public identity","neutral characters","blue eyes","black hair","male characters","heterosexual characters","living characters",415,"1962"
"85","jubilation lee (earth-616)","secret identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",408,"1989"
"86","volstagg (earth-616)","public identity","good characters","blue eyes","red hair","male characters","heterosexual characters","living characters",406,"1965"
"87","balder odinson (earth-616)","secret identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","deceased characters",403,"1962"
"88","galactus (earth-616)","secret identity","neutral characters","brown eyes","no hair","male characters","heterosexual characters","living characters",390,"1966"
"89","danielle moonstar (earth-616)","secret identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",388,"1982"
"90","marc spector (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",387,"1975"
"91","gwendolyne stacy (earth-616)","no dual identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","deceased characters",384,"1965"
"92","medusalith amaquelin (earth-616)","public identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",382,"1965"
"93","sabretooth (victor creed)","secret identity","bad characters","amber eyes","blond hair","male characters","heterosexual characters","living characters",382,"1977"
"94","illyana rasputina (earth-616)","secret identity","neutral characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",380,"1975"
"95","johann shmidt (earth-616)","public identity","bad characters","blue eyes","blond hair","male characters","heterosexual characters","deceased characters",376,"1941"
"96","fandral (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","deceased characters",375,"1965"
"97","sean cassidy (earth-616)","secret identity","neutral characters","green eyes","strawberry blond hair","male characters","heterosexual characters","living characters",374,"1967"
"98","thomas raymond (earth-616)","secret identity","good characters","blue eyes","black hair","male characters","heterosexual characters","living characters",373,"1940"
"99","uatu (earth-616)","public identity","good characters","blue eyes","bald","male characters","heterosexual characters","deceased characters",373,"1963"
"100","richard rider (earth-616)","public identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",373,"1976"
"101","hogun (earth-616)","public identity","good characters","grey eyes","black hair","male characters","heterosexual characters","living characters",371,"1965"
"102","raven darkholme (earth-616)","secret identity","bad characters","yellow eyes","red hair","female characters","bisexual characters","living characters",371,"1978"
"103","barbara morse (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",368,"1971"
"104","blackagar boltagon (earth-616)","no dual identity","good characters","blue eyes","black hair","male characters","heterosexual characters","living characters",366,"1965"
"105","brunnhilde (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",361,"1970"
"106","alison blaire (earth-616)","public identity","good characters","blue eyes","strawberry blond hair","female characters","heterosexual characters","living characters",353,"1980"
"107","venom (symbiote) (earth-616)","known to authorities identity","neutral characters","variable eyes","no hair","agender characters","heterosexual characters","living characters",348,"1984"
"108","john walker (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",346,"1986"
"109","greer grant (earth-616)","public identity","good characters","green eyes","black hair","female characters","heterosexual characters","living characters",342,"1972"
"110","karla sofen (earth-616)","public identity","neutral characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",340,"1975"
"111","william baker (earth-616)","secret identity","neutral characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",338,"1963"
"112","sharon carter (earth-616)","public identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",332,"1966"
"113","felicia hardy (earth-616)","public identity","bad characters","","blond hair","female characters","heterosexual characters","living characters",332,"1979"
"114","cain marko (earth-616)","public identity","neutral characters","blue eyes","red hair","male characters","heterosexual characters","living characters",329,"1965"
"115","monica rambeau (earth-616)","secret identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",327,"need to drop"
"116","maria hill (earth-616)","no dual identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",325,"2005"
"117","ben urich (earth-616)","no dual identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",324,"1978"
"118","heather douglas (earth-616)","secret identity","good characters","blue eyes","bald","female characters","bisexual characters","living characters",323,"1973"
"119","millicent collins (earth-616)","public identity","","blue eyes","blond hair","female characters","heterosexual characters","living characters",321,"1945"
"120","james proudstar (earth-616)","secret identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",320,"1984"
"121","angelica jones (earth-616)","known to authorities identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",319,"1985"
"122","edward brock (earth-616)","public identity","neutral characters","black eyes","blond hair","male characters","heterosexual characters","living characters",318,"1986"
"123","macdonald gargan (earth-616)","secret identity","bad characters","brown eyes","bald","male characters","heterosexual characters","living characters",317,"1964"
"124","mephisto (earth-616)","no dual identity","bad characters","white eyes","black hair","male characters","heterosexual characters","living characters",316,"1968"
"125","tabitha smith (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",316,"1985"
"126","jean-paul beaubier (earth-616)","secret identity","good characters","blue eyes","black hair","male characters","homosexual characters","living characters",313,"1979"
"127","daniel ketch (earth-616)","secret identity","neutral characters","green eyes","brown hair","male characters","heterosexual characters","living characters",311,"1990"
"128","neena thurman (earth-616)","secret identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",310,"1992"
"129","wong (earth-616)","no dual identity","good characters","brown eyes","bald","male characters","heterosexual characters","living characters",306,"1963"
"130","thanos (earth-616)","no dual identity","bad characters","red eyes","no hair","male characters","heterosexual characters","living characters",306,"1973"
"131","shang-chi (earth-616)","no dual identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",296,"1973"
"132","alicia masters (earth-616)","no dual identity","good characters","brown eyes","strawberry blond hair","female characters","heterosexual characters","living characters",293,"1962"
"133","robert baldwin (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",293,"1988"
"134","vance astrovik (earth-616)","public identity","good characters","hazel eyes","brown hair","male characters","heterosexual characters","living characters",290,"1975"
"135","wendell vaughn (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",290,"1978"
"136","chili storm (earth-616)","public identity","","green eyes","red hair","female characters","homosexual characters","living characters",284,"1948"
"137","abner jenkins (earth-616)","public identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",284,"1964"
"138","elektra natchios (earth-616)","secret identity","neutral characters","blue eyes","black hair","female characters","heterosexual characters","living characters",280,"1981"
"139","bullseye (lester) (earth-616)","secret identity","bad characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",277,"1976"
"140","forge (earth-616)","public identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",276,"1984"
"141","virginia potts (earth-616)","no dual identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",274,"1963"
"142","walter langkowski (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",273,"1979"
"143","gorgon (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",272,"1965"
"144","james madrox (earth-616)","public identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",271,"1975"
"145","heimdall (earth-616)","secret identity","good characters","grey eyes","brown hair","male characters","heterosexual characters","living characters",270,"1962"
"146","theresa cassidy (earth-616)","secret identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",267,"1981"
"147","laura kinney (earth-616)","secret identity","good characters","green eyes","black hair","female characters","heterosexual characters","living characters",265,"2004"
"148","arthur douglas (earth-616)","secret identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","living characters",264,"1973"
"149","peter parker (ben reilly) (earth-616)","secret identity","good characters","hazel eyes","blond hair","male characters","heterosexual characters","deceased characters",263,"1975"
"150","warlock (technarch) (earth-616)","secret identity","good characters","black eyes","no hair","male characters","heterosexual characters","living characters",261,"1984"
"151","kevin plunder (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",260,"1965"
"152","leonard samson (earth-616)","public identity","good characters","brown eyes","green hair","male characters","heterosexual characters","deceased characters",260,"1971"
"153","melissa gold (earth-616)","secret identity","good characters","green eyes","blond hair","female characters","heterosexual characters","living characters",260,"1979"
"154","lockheed (earth-616)","secret identity","good characters","","no hair","male characters","heterosexual characters","living characters",260,"1983"
"155","mercedes knight (earth-616)","public identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",259,"1972"
"156","moira kinross (earth-616)","no dual identity","good characters","blue eyes","brown hair","female characters","heterosexual characters","deceased characters",259,"1975"
"157","karnak (earth-616)","secret identity","good characters","blue eyes","black hair","male characters","heterosexual characters","deceased characters",257,"1965"
"158","namorita prentiss (earth-616)","public identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","deceased characters",257,"1972"
"159","lockjaw (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",255,"1965"
"160","adam warlock (earth-616)","no dual identity","good characters","white eyes","gold hair","male characters","heterosexual characters","living characters",252,"1967"
"161","heather mcneil (earth-616)","public identity","neutral characters","green eyes","red hair","female characters","heterosexual characters","living characters",252,"1980"
"162","curtis connors (earth-616)","public identity","neutral characters","red eyes","no hair","male characters","heterosexual characters","living characters",250,"1963"
"163","theodore sallis (earth-616)","secret identity","good characters","red eyes","no hair","male characters","heterosexual characters","living characters",249,"1971"
"164","adrian toomes (earth-616)","public identity","bad characters","hazel eyes","bald","male characters","heterosexual characters","living characters",248,"1963"
"165","amora (earth-616)","public identity","bad characters","green eyes","blond hair","female characters","heterosexual characters","living characters",247,"1964"
"166","clea (earth-616)","no dual identity","good characters","blue eyes","white hair","female characters","heterosexual characters","living characters",247,"1964"
"167","mar-vell (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","deceased characters",245,"1967"
"168","eugene judd (earth-616)","public identity","good characters","brown eyes","bald","male characters","heterosexual characters","living characters",245,"1983"
"169","daimon hellstrom (earth-616)","no dual identity","neutral characters","red eyes","red hair","male characters","heterosexual characters","living characters",242,"1973"
"170","john jonah jameson iii (earth-616)","no dual identity","good characters","brown eyes","auburn hair","male characters","heterosexual characters","living characters",240,"1963"
"171","triton (earth-616)","no dual identity","good characters","green eyes","no hair","male characters","heterosexual characters","living characters",240,"1965"
"172","meggan puceanu (earth-616)","secret identity","good characters","","","female characters","heterosexual characters","living characters",240,"1983"
"173","robert reynolds (earth-616)","secret identity","neutral characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",240,"2000"
"174","aleksei sytsevich (earth-616)","secret identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",239,"1966"
"175","santo vaccarro (earth-616)","secret identity","good characters","white eyes","no hair","male characters","heterosexual characters","living characters",238,"2003"
"176","jonathan clay (earth-616)","secret identity","good characters","blue eyes","red hair","male characters","homosexual characters","living characters",237,"1960"
"177","ares (earth-616)","secret identity","neutral characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",236,"1949"
"178","sersi (earth-616)","secret identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",236,"1976"
"179","guido carosella (earth-616)","secret identity","neutral characters","brown eyes","bald","male characters","heterosexual characters","living characters",236,"1985"
"180","zabu (earth-616)","public identity","good characters","green eyes","orange hair","male characters","heterosexual characters","living characters",234,"1965"
"181","michael morbius (earth-616)","secret identity","neutral characters","red eyes","black hair","male characters","heterosexual characters","living characters",231,"1971"
"182","julio richter (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","homosexual characters","living characters",231,"1987"
"183","phoenix force (earth-616)","secret identity","neutral characters","","no hair","","heterosexual characters","deceased characters",229,"1976"
"184","megan gwynn (earth-616)","public identity","good characters","black eyeballs","pink hair","female characters","heterosexual characters","living characters",229,"2004"
"185","kyle richmond (earth-616)","secret identity","good characters","brown eyes","auburn hair","male characters","heterosexual characters","living characters",227,"1969"
"186","karen page (earth-616)","no dual identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","deceased characters",226,"1964"
"187","tyrone johnson (earth-616)","secret identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",226,"1982"
"188","maxwell dillon (earth-616)","public identity","bad characters","blue eyes","auburn hair","male characters","heterosexual characters","living characters",225,"1964"
"189","valerie cooper (earth-616)","public identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",225,"1983"
"190","anna may (earth-616)","no dual identity","good characters","blue eyes","white hair","female characters","heterosexual characters","living characters",224,"1964"
"191","vlad dracula (earth-616)","no dual identity","bad characters","red eyes","white hair","male characters","heterosexual characters","living characters",223,"1951"
"192","tandy bowen (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",222,"1982"
"193","monet st. croix (earth-616)","no dual identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",221,"1994"
"194","gamora (earth-616)","no dual identity","neutral characters","yellow eyes","black hair","female characters","heterosexual characters","living characters",218,"1975"
"195","amara aquilla (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",217,"1983"
"196","julia carpenter (earth-616)","secret identity","good characters","blue eyes","strawberry blond hair","female characters","heterosexual characters","living characters",212,"1984"
"197","jane foster (earth-616)","no dual identity","good characters","blue eyes","brown hair","female characters","heterosexual characters","living characters",211,"1962"
"198","mortimer toynbee (earth-616)","secret identity","neutral characters","black eyes","brown hair","male characters","heterosexual characters","living characters",210,"1964"
"199","scott lang (earth-616)","public identity","good characters","blue eyes","strawberry blond hair","male characters","heterosexual characters","living characters",209,"1979"
"200","paige guthrie (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",207,"1984"
"201","benjamin parker (earth-616)","no dual identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","deceased characters",205,"1962"
"202","erik josten (earth-616)","secret identity","good characters","brown eyes","red hair","male characters","heterosexual characters","living characters",204,"1965"
"203","jeanne-marie beaubier (earth-616)","secret identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",203,"1979"
"204","carl creel (earth-616)","public identity","bad characters","blue eyes","bald","male characters","heterosexual characters","living characters",202,"1964"
"205","gloria grant (earth-616)","no dual identity","","brown eyes","black hair","female characters","heterosexual characters","living characters",202,"1975"
"206","michael twoyoungmen (earth-616)","public identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",200,"1979"
"207","hope summers (earth-616)","secret identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",200,"2008"
"208","eric masterson (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","deceased characters",198,"1988"
"209","alexander power (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",197,"1984"
"210","matthew hawk (earth-616)","secret identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","deceased characters",195,"1962"
"211","jessica jones (earth-616)","no dual identity","good characters","brown eyes","brown hair","female characters","heterosexual characters","living characters",195,"1963"
"212","frederick dukes (earth-616)","public identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",194,"1964"
"213","eric brooks (earth-616)","public identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",194,"1973"
"214","eros (earth-616)","public identity","good characters","blue eyes","red hair","male characters","heterosexual characters","living characters",193,"1973"
"215","madison jeffries (earth-616)","no dual identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",193,"1983"
"216","mandarin (earth-616)","secret identity","bad characters","blue eyes","black hair","male characters","heterosexual characters","deceased characters",190,"1964"
"217","the wizard (earth-616)","public identity","bad characters","hazel eyes","brown hair","male characters","heterosexual characters","living characters",189,"1962"
"218","akihiro (earth-616)","secret identity","bad characters","blue eyes","black hair","male characters","bisexual characters","living characters",189,"2006"
"219","sergei kravinoff (earth-616)","public identity","bad characters","brown eyes","black hair","male characters","heterosexual characters","deceased characters",188,"1964"
"220","jonothon starsmore (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",187,"1994"
"221","helmut zemo (earth-616)","public identity","bad characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",184,"1973"
"222","victor borkowski (earth-616)","secret identity","good characters","brown eyes","black hair","male characters","homosexual characters","living characters",184,"2003"
"223","edward leeds (earth-616)","secret identity","neutral characters","blue eyes","brown hair","male characters","heterosexual characters","deceased characters",181,"1964"
"224","ultron (earth-616)","no dual identity","bad characters","red eyes","no hair","male characters","heterosexual characters","deceased characters",181,"1968"
"225","douglas ramsey (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",181,"1984"
"226","quentin beck (earth-616)","secret identity","bad characters","blue eyes","bald","male characters","heterosexual characters","living characters",180,"1964"
"227","herbert wyndham (earth-616)","secret identity","neutral characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",179,"1966"
"228","julian keller (earth-616)","public identity","good characters","blue eyes","black hair","male characters","heterosexual characters","living characters",179,"2003"
"229","jack russell (earth-616)","secret identity","good characters","blue eyes","red hair","male characters","heterosexual characters","living characters",178,"1972"
"230","celeste cuckoo (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",177,"2001"
"231","valentina allegra de fontaine (earth-616)","secret identity","neutral characters","blue eyes","black hair","female characters","heterosexual characters","living characters",176,"1967"
"232","ophelia sarkissian (earth-616)","secret identity","bad characters","green eyes","black hair","female characters","heterosexual characters","living characters",175,"1969"
"233","colleen wing (earth-616)","public identity","good characters","blue eyes","auburn hair","female characters","heterosexual characters","living characters",175,"1974"
"234","irma cuckoo (earth-616)","secret identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",175,"2001"
"235","sebastian shaw (earth-616)","no dual identity","neutral characters","blue eyes","black hair","male characters","heterosexual characters","living characters",174,"1980"
"236","phoebe cuckoo (earth-616)","secret identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",174,"2001"
"237","sage (earth-616)","secret identity","good characters","blue eyes","black hair","female characters","heterosexual characters","living characters",172,"1980"
"238","valeria richards (earth-616)","no dual identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",171,"2002"
